"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"c:\Users\dizad\Desktop\projects\oma\app\client\src\app.vue", "Vue", 0, 3, 0, 0, 3
"c:\Users\dizad\Desktop\projects\oma\app\client\src\bridge.js", "JavaScript", 128, 0, 20, 11, 159
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\about.vue", "Vue", 0, 74, 10, 0, 84
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\confirm.vue", "Vue", 0, 68, 9, 0, 77
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\eula.vue", "Vue", 0, 72, 10, 0, 82
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\event.vue", "Vue", 0, 101, 11, 0, 112
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\generic.vue", "Vue", 0, 139, 15, 0, 154
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\license.vue", "Vue", 0, 223, 23, 0, 246
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\save.vue", "Vue", 0, 75, 9, 0, 84
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\schedule.vue", "Vue", 0, 994, 62, 1, 1057
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\user.vue", "Vue", 0, 392, 28, 0, 420
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\dialogs\zone.vue", "Vue", 0, 416, 27, 0, 443
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\generics\banner.vue", "Vue", 0, 360, 31, 1, 392
"c:\Users\dizad\Desktop\projects\oma\app\client\src\components\generics\pie.js", "JavaScript", 8, 0, 0, 1, 9
"c:\Users\dizad\Desktop\projects\oma\app\client\src\main.js", "JavaScript", 13, 0, 2, 2, 17
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\dashboard.vue", "Vue", 0, 192, 17, 0, 209
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\login.vue", "Vue", 0, 177, 23, 0, 200
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\properties.vue", "Vue", 0, 753, 78, 4, 835
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\scheduling.vue", "Vue", 0, 768, 87, 0, 855
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\settings.vue", "Vue", 0, 162, 20, 0, 182
"c:\Users\dizad\Desktop\projects\oma\app\client\src\pages\tracking.vue", "Vue", 0, 491, 60, 0, 551
"c:\Users\dizad\Desktop\projects\oma\app\client\src\routing.config.js", "JavaScript", 36, 0, 2, 1, 39
"c:\Users\dizad\Desktop\projects\oma\app\client\src\utils\converters.js", "JavaScript", 26, 0, 8, 0, 34
"c:\Users\dizad\Desktop\projects\oma\app\client\src\utils\references.js", "JavaScript", 62, 0, 2, 0, 64
"c:\Users\dizad\Desktop\projects\oma\app\client\src\utils\utils.js", "JavaScript", 23, 0, 4, 0, 27
"Total", "-", 296, 5460, 558, 21, 6335
